HARRASSMENT 2,44767
PETIT LARCENY,37477
CRIMINAL MISCHIEF & RELATED OF,32784
ASSAULT 3 & RELATED OFFENSES,21089
OFF. AGNST PUB ORD SENSBLTY &,20238
