PETIT LARCENY,903730,0.1625192397366042
HARRASSMENT 2,669989,0.12048521451306
ASSAULT 3 & RELATED OFFENSES,574018,0.10322659306997231
CRIMINAL MISCHIEF & RELATED OF,554623,0.09973875858988264
GRAND LARCENY,473401,0.08513247387001446
