1,37835,34459,38770,40214,41430,38046,42275,40739,45207,44923,44941
2,35175,31455,34331,35253,39100,36438,33914,37444,39478,36807,37950
3,40013,37921,40770,39095,43366,42098,42786,43170,44108,43744,45080
4,39774,39723,39892,40286,41566,41023,42860,41495,43375,42534,43222
5,42380,42170,44103,42642,44780,43682,44581,44458,45234,47759,46711
6,42122,41525,42638,41683,43076,43815,44493,43196,45430,45987,45849
7,41480,44260,44765,44559,45166,44498,44657,45334,46591,47091,46770
8,43229,44967,44490,44320,45788,43004,44491,46145,46847,47621,47433
9,39916,41828,43176,43096,42442,41090,44102,43549,45017,46702,45326
10,41296,41139,44132,44625,41759,41725,45545,44610,45719,48468,46608
11,37639,38961,37702,40295,35411,41265,41573,41894,40810,42668,43557
12,37893,38985,35056,39594,38817,40261,36453,39259,40501,41956,42431
