01/01/2016,1351
01/02/2016,1072
01/03/2016,1068
01/04/2016,1202
01/05/2016,1143
01/06/2016,1320
01/07/2016,1392
01/08/2016,1414
01/09/2016,1328
01/10/2016,1113
01/11/2016,1340
01/12/2016,1301
01/13/2016,1257
01/14/2016,1352
01/15/2016,1417
01/16/2016,1305
01/17/2016,1180
01/18/2016,1136
01/19/2016,1244
01/20/2016,1372
01/21/2016,1362
01/22/2016,1349
01/23/2016,569
01/24/2016,635
01/25/2016,1067
01/26/2016,1138
01/27/2016,1337
01/28/2016,1406
01/29/2016,1261
01/30/2016,1282
01/31/2016,1122
02/01/2016,1250
02/02/2016,1446
02/03/2016,1351
02/04/2016,1425
02/05/2016,1239
02/06/2016,1214
02/07/2016,1068
02/08/2016,1161
02/09/2016,1285
02/10/2016,1376
02/11/2016,1229
02/12/2016,1245
02/13/2016,1050
02/14/2016,815
02/15/2016,966
02/16/2016,1121
02/17/2016,1315
02/18/2016,1251
02/19/2016,1171
02/20/2016,1217
02/21/2016,1131
02/22/2016,1347
02/23/2016,1171
02/24/2016,1202
02/25/2016,1301
02/26/2016,1310
02/27/2016,1211
02/28/2016,1047
02/29/2016,1260
03/01/2016,1279
03/02/2016,1334
03/03/2016,1350
03/04/2016,1252
03/05/2016,1174
03/06/2016,1137
03/07/2016,1255
03/08/2016,1452
03/09/2016,1412
03/10/2016,1460
03/11/2016,1442
03/12/2016,1239
03/13/2016,1132
03/14/2016,1146
03/15/2016,1412
03/16/2016,1377
03/17/2016,1298
03/18/2016,1398
03/19/2016,1275
03/20/2016,1065
03/21/2016,1217
03/22/2016,1327
03/23/2016,1372
03/24/2016,1343
03/25/2016,1269
03/26/2016,1232
03/27/2016,999
03/28/2016,1233
03/29/2016,1365
03/30/2016,1349
03/31/2016,1418
04/01/2016,1406
04/02/2016,1242
04/03/2016,1069
04/04/2016,1226
04/05/2016,1212
04/06/2016,1354
04/07/2016,1370
04/08/2016,1383
04/09/2016,1302
04/10/2016,1153
04/11/2016,1417
04/12/2016,1319
04/13/2016,1480
04/14/2016,1390
04/15/2016,1473
04/16/2016,1291
04/17/2016,1183
04/18/2016,1442
04/19/2016,1373
04/20/2016,1476
04/21/2016,1472
04/22/2016,1417
04/23/2016,1326
04/24/2016,1139
04/25/2016,1354
04/26/2016,1350
04/27/2016,1279
04/28/2016,1324
04/29/2016,1355
04/30/2016,1197
05/01/2016,1005
05/02/2016,1252
05/03/2016,1370
05/04/2016,1429
05/05/2016,1352
