"STATION","NAME","DATE","AWND","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-12","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-13","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-14","14.09",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-15","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-16","3.58",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-17","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-18","8.72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-19","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-20","9.62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-21","8.05",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-22","6.93",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-23","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-24","9.17",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-25","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-26","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-27","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-28","10.07",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-29","11.63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-30","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-31","6.71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-01","6.71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-02","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-03","12.75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-04","7.16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-05","8.28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-06","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-07","6.93",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-08","7.16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-09","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-10","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-11","6.93",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-12","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-13","4.47",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-14","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-15","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-16","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-17","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-18","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-19","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-20","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-21","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-22","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-23","7.16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-24","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-25","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-26","7.16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-27","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-28","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-29","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04-30","5.82",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-01","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-02","2.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-03","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-04","8.72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-05","8.28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-06","7.83",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05-07","4.47",
