Date,Crime,Wind Speed,,-0.331495674
8/5/16,1459,3.8,,
8/6/16,1238,5.14,,
8/7/16,1256,4.03,,
8/8/16,1491,1.34,,
8/9/16,1453,2.68,,
8/10/16,1453,4.03,,
8/11/16,1346,4.47,,
8/12/16,1391,5.14,,
8/13/16,1264,4.03,,
8/14/16,1244,3.8,,
8/15/16,1425,2.91,,
8/16/16,1502,4.03,,
8/17/16,1576,5.37,,
8/18/16,1453,1.57,,
8/19/16,1461,2.24,,
8/20/16,1317,4.7,,
8/21/16,1269,4.25,,
8/22/16,1416,5.82,,
8/23/16,1456,1.79,,
8/27/16,1259,2.68,,
8/28/16,1340,2.46,,
8/29/16,1416,5.37,,
8/30/16,1443,3.13,,
8/31/16,1458,3.36,,
9/1/16,1243,1.79,,
9/2/16,1367,6.04,,
9/3/16,1261,6.71,,
9/4/16,1174,6.71,,
9/5/16,1232,7.61,,
9/6/16,1483,9.62,,
9/7/16,1377,6.49,,
9/8/16,1395,2.68,,
9/9/16,1407,3.8,,
9/10/16,1238,4.03,,
9/11/16,1245,5.82,,
9/12/16,1297,4.25,,
9/13/16,1357,4.03,,
9/14/16,1407,4.92,,
9/15/16,1471,4.92,,
9/16/16,1397,2.68,,
9/17/16,1284,3.36,,
9/18/16,1225,3.58,,
9/19/16,1162,2.46,,
9/20/16,1426,2.24,,
9/21/16,1392,3.8,,
9/22/16,1497,2.46,,
9/23/16,1481,1.79,,
9/24/16,1264,5.14,,
9/25/16,1199,2.91,,
9/26/16,1295,4.47,,
9/27/16,1338,3.13,,
9/28/16,1453,8.05,,
9/29/16,1325,11.18,,
9/30/16,1224,9.62,,
10/1/16,1176,7.61,,
10/2/16,1111,2.68,,
10/3/16,1249,2.24,,
10/4/16,1460,7.61,,
10/5/16,1399,4.7,,
10/6/16,1464,2.01,,
10/7/16,1360,2.46,,
10/8/16,1249,2.01,,
10/9/16,1116,7.38,,
10/10/16,1202,4.7,,
10/11/16,1357,3.58,,
10/12/16,1432,1.12,,
10/13/16,1396,2.91,,
10/14/16,1342,4.7,,
10/15/16,1273,3.13,,
10/16/16,1232,4.03,,
10/17/16,1399,2.68,,
10/18/16,1553,4.03,,
10/19/16,1525,4.47,,
10/20/16,1477,6.26,,
10/21/16,1498,2.24,,
10/22/16,1319,10.51,,
10/23/16,1180,8.5,,
10/24/16,1331,6.04,,
10/25/16,1314,6.49,,
10/26/16,1339,4.03,,
10/27/16,1275,5.14,,
10/28/16,1343,8.28,,
10/29/16,1282,4.25,,
10/30/16,1234,3.8,,
10/31/16,1409,4.92,,
11/1/16,1533,3.13,,
11/2/16,1506,3.13,,
11/3/16,1417,5.14,,
11/4/16,1420,4.7,,
11/5/16,1300,3.13,,
11/6/16,1098,7.61,,
11/7/16,1257,5.37,,
11/8/16,1264,2.46,,
11/9/16,1294,3.58,,
11/10/16,1171,5.82,,
11/11/16,1203,8.28,,
11/12/16,1158,5.37,,
11/13/16,1183,5.37,,
11/14/16,1275,3.58,,
11/15/16,1209,5.59,,
11/16/16,1431,4.03,,
11/17/16,1398,4.25,,
11/18/16,1381,2.46,,
11/19/16,1274,4.92,,
11/20/16,1023,10.29,,
11/21/16,1219,13.2,,
11/22/16,1289,9.62,,
11/23/16,1209,4.92,,
11/24/16,759,4.47,,
11/25/16,1270,2.01,,
11/26/16,1194,4.47,,
11/27/16,1076,4.7,,
11/28/16,1301,3.36,,
11/29/16,1223,4.92,,
11/30/16,1304,6.26,,
12/1/16,1426,7.61,,
12/2/16,1357,8.72,,
12/3/16,1266,8.72,,
12/4/16,1078,4.92,,
12/5/16,1308,5.59,,
12/6/16,1340,5.37,,
12/7/16,1344,3.8,,
12/10/16,1188,6.04,,
12/11/16,1068,4.03,,
12/12/16,1231,6.26,,
12/13/16,1322,4.03,,
12/14/16,1411,5.59,,
12/15/16,1181,10.96,,
12/16/16,1125,6.04,,
12/17/16,1011,4.25,,
12/18/16,1074,7.38,,
12/19/16,1273,6.71,,
12/20/16,1289,3.13,,
12/21/16,1416,2.91,,
12/22/16,1354,6.26,,
12/23/16,1263,6.49,,
12/24/16,1008,4.92,,
12/25/16,764,6.26,,
12/26/16,1027,6.49,,
12/27/16,1347,7.16,,
12/28/16,1236,5.14,,
12/29/16,1183,5.37,,
12/30/16,1308,9.4,,
12/31/16,1029,6.93,,
